COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 
Purple Fountain Grass 		 Pennisetum setaceum 'Rubrum' 		 Clumping foliage is burgundy and topped by red-purple plumes. Grows to 3-4' tall & wide. Well-drained moist soil in full sun. Does not like bogs or shade. 		 PennSetRub 		 3-4' h x w"""" 		 

Huskers Red Penstemon 		 Penstemon digitalis 'Huskers Red' 		 From eastern & central U.S. Grows to 2 1/2-3' tall w/maroon foliage and pinkish white flowers. Tolerates heat & humidity; needs regular water. Part shade inland. 		 PensHuskRed 		 2-3' tall"""" 		 

Russian Sage 		 Perovskia atriplicifolia 		 Dense growth to 3' x 3'. Dark green leaves with abundant spikes of lavender flowers. Sun to part shade in hot climates; regular water. 		 PerovAtrip 		 3' h x w; lav-blue"""" 		 

Black Knight Butterfly Bush 		 Buddleja davidii 'Black Knight' 		 Semi-evergreen to deciduous depending on climate. Large, fast-growing plant with dark green-gray leaves and deep purple flowers. Sun; little to moderate water. 		 BuddBlkKni 		 10-12' high; purple""" 		 

Asteriscus 'Gold Coin' 		 Asteriscus maritimus 'Gold Coin' 		 Leafy evergreen shrub with yellow daisy-like flowers.  Tolerates most soils and seaside conditions. 1' x 4' plant. Native to Mediterranean and Canary Islands. 		 AstMarGC 		 to 1' h x 4' w; gold"" 		 

Butterfly Mint 		 Monardella odoratissima (australis) 		 Aromatic perennial bushy plant. 10-24"x 24". Small purplish flowers at stem ends in summer and early fall. Can be used in tea. Full sun; well-drained soil. 		 MonaOdor 		 to 2' h x w; purple""" 		 

Sunset Rockrose 		 Cistus 'Sunset' 		 Dense, spreading growth to 2' h x 6-8' w. Full sun; well-drained soil; drought tolerant. Bright magenta flowers spring to summer. Great landscape plant. Zones 8-10. 		 CistusSuns 		 2' h x 6-8' w"""" 		 

Orchid Rockrose 		 Cistus x purpureus 		 4'x4' perennial shrub. Full sun; well-drained soil; drought tolerant. Pink flowers have a red spot at the base of each petal. Does not like heavy pruning. 		 CistusPurp 		 4' h x w; pink"""" 		 

Woolly Yarrow 		 Achillea tomentosa 		 Very low-growing perennial with bright yellow flowers.  Tolerates poor soil; sun to part shade. Leaves form gray-green mat. 		 AchTom 		 2-4" h; yellow"""" 		 

California Fan Palm 		 Washingtonia filifera 		 Perennial hardy to 18 F. Grows to 60' tall with thick trunk. 3-6' leaves have a long stalk & stand well apart in the crown. Full sun; regular water. 		 WashFilif 		 to 60' tall"""" 		 

Silver Mound Wormwood 		 Artemisia schmidtiana 'Silver Mound' 		 Soft silvery foliage forms 12" mounds. Excellent at the front edge of the garden. Sun; well-drained soil; moderate water. Great accent plant. 		 ArtemSilvMn 		 12" soft mounds"""" 		 

Obispo Manzanita 		 Arctostaphylos obispoensis 		 Shrub to 8'. Green leaves, red stems, and white to pink flowers. Full sun to part shade. Tolerates serpentine, clay, and DG. 		 ArctObispo 		 to 8' h x w"""" 		 

Pt. Reyes Manzanita 		 Arctostaphylos uva-ursi 'Pt. Reyes' 		 Ground cover up to 1' h x 10' wide. Red color in cooler climates. Full in coastal areas; part shade inland; average soil. Low water. Zones 8-10. 		 ArctPtReyes 		 to 1' h x 10' w"""" 		 

Emerald Carpet Manzanita 		 Arctostaphylos 'Emerald Carpet' 		 Shiny green foliage with small pink blooms. 1'H x 6'W. Prefers some shade in very hot climates. Tolerates poor soil and little to no water. 		 ArctEmCarp 		 to 1' h x 6' w"""" 		 

Howard McMinn Manzanita 		 Arctostaphylos densiflora 'Howard McMinn' 		 Dense mounding shrub to 5'. Pink flowers in winter followed by red berries. Slightly elongated leaves. Well drained soil in sun or dappled shade. Zones 6-10. 		 ArctDHoward 		 mounding to 5'"""" 		 

John Dourley Manzanita 		 Arctostaphylos 'John Dourley' 		 3' h x 6' w shrub. Green-gray leaves with red-bronze stems & pink flowers. Red new growth. Full sun to part shade. Tolerates poor soil. Little water. Zones 7-10. 		 ArctJohnD 		 to 3' h x 6' w"""" 		 

Sierra Blue Wild Lilac 		 Ceanothus 'Sierra Blue' 		 10-12' tall x 8-10' wide. Bright medium blue flowers in 6-8" spike-like clusters. Fast grower; drought tolerant when established. Full sun. 		 CeanSierraB 		 10-12' h x 8-10' w"""" 		 

Pigeon Point Coyote Brush 		 Baccharis pilularis 'Pigeon Point' 		 Northern California coastal native. Very adaptable to a variety of soil and water conditions. To 2' h x 9' w. Cut back in early spring every year. 		 BaccPilPP 		 to 2' h x 9' w"""" 		 

Buck Brush Wild Lilac 		 Ceanothus cuneatus 		 Native to California Coast Range & Sierras. Full sun and well-drained soil; very drought tolerant. Flowers can be white to bluish. Height varies from 3-9'. 		 CeanCuneat 		 height varies: 3-9'""" 		 

Frosty Blue Wild Lilac 		 Ceanothus 'Frosty Blue' 		 8' x 8' evergreen shrub. Blue flowers in March-May. Can be shaped into a small tree. Sun to part shade; drought tolerant; tolerates varied conditions. 		 CeanFrostBl 		 8' h x w; mid-blue"""" 		 

Yankee Point Wild Lilac 		 Ceanothus griseus horizontalis 'Yankee Pt.' 		 3' x 10'. Sun to part sun; does best near coast. Native to Carmel area of California. Moderate water and good drainage. Hardy to 20 F. 		 CeanYankPt 		 3' h x 10' w; mid-blue 		 

Carmel Creeper Wild Lilac 		 Ceanothus griseus horizontalis 'Carmel Creeper' 		 1-2' H x 5-15' W. Bright green leaves with light blue flowers. Somewhat frost tender inland. Prefers coastal conditions, but will grow inland with some shade. 		 CeanCarmCrp 		 1-2' h x 5-15' w"""" 		 

Ground Morning Glory 		 Convolvulus mauritanicus 		 To 1' perennial spreading to 3'. Blue flowers in late spring and summer. Sun to part shade; moderate water.  Grows well in light soil, but can tolerate clay. 		 ConvolvMaur 		 to 1' h x 2-3' w"""" 		 

Purple Hop Bush 		 Dodonaea viscosa 'Purpurea' 		 10-15' high; can be trained to tree form. Very bronze-purple foliage is more colorful in winter. Full sun; regular water. Zones 8-11. 		 DodVisPurp 		 10-15' h shrub or tree 		 

St. Catherine's Lace 		 Eriogonum giganteum 		 Native to CA Channel Islands. Grayish white leaves. Full sun; little to moderate water; well-drained soil. Grows to 5' h x w. Zones 8-10. 		 EriogGigant 		 to 5' h x w; white blm 		 

Red Buckwheat 		 Eriogonum grande var. rubescens 		 Native to So. Cal. Channel Islands. 12-18" high; branches tend to lay on the ground. Gray-green oval leaves. Branches are topped with rosy red flowers. 		 EriogGranRb 		 12-18" h; pink bloom"" 		 

Lake Veronica 		 Hebe 'Lake' 		 Deep green leaves with abundant lilac flower spikes. Dense growth 3' x 3'. Part shade in hottest climates; regular water. 		 HebeLake 		 3' h x w; purple bloom 		 

Old Gold Juniper 		 Juniperus chinensis 'Old Gold' 		 Lacy, golden foliage is displayed on slightly arching branches. Use as a border, hedge or accent shrub.  Upright evergreen shrub to 5' high. Poor soil; sun. 		 JuniOldGold 		 to 5' h"""" 		 

Blue Cushion Lavender 		 Lavandula angustifolia 'Blue Cushion' 		 Dwarf lavender with bright lavender-blue flowers. 1-2' high. Full sun. Moderate water. Prune by no more than one third after blooming. 		 LavBluCush 		 1-2' h incl bloom"""" 		 

Jean Davis Lavender 		 Lavandula angustifolia 'Jean Davis' 		 1-2' high & wide with gray-green foliage and pale pink flowers. Full sun; moderate water. Prune by no more than one third after blooming. Zones 5-10. 		 LavJeanDav 		 1-2' h incl bloom"""" 		 

Sweet Lavender 		 Lavandula heterophylla 		 Very fragrant perennial 2-3' tall with bright violet flowers in midsummer. Full sun; moderate water. Prune after blooming. 		 LavHeterop 		 2-3' h; fragrant"""" 		 

Spanish Lavender 		 Lavandula stoechas 		 Stocky plants 1-3' high & wide. Short, fat flowers are topped by "bunny ear"-like brachts. Blooms spring to summer & can repeat bloom. Sun; little water. 		 LavStoech 		 1-3' h x w"""" 		 

Twinberry 		 Lonicera involucrata 		 Honeysuckle relative with red-orange trumpet flowers. Dark berries are edible but bitter. 6-8' high; sun to part shade; California coastal native. 		 LonInvol 		 6-8' h x w; red-orange 		 

Scarlet Monkey Flower 		 Mimulus cardinalis 		 Native to damp areas in the West. 2-3' h x w. Tubular scarlet flowers in summer; soft green leaves. Full shade inland; sun to shade elsewhere; ample water. 		 MimCard 		 2-3' h x w; scarlet""" 		 

Midnight Penstemon 		 Penstemon x 'Midnight' 		 2-3' perennial with narrow green leaves. Large deep purple flowers in summer. Sun to part shade; moderate water; well-drained soil. 		 PensMidnigh 		 2-3' h x w; purple"""" 		 

Majorca Pink Rosemary 		 Rosmarinus officinalis 'Majorca Pink' 		 2-4' perennial which eventually sprawls. Lilac-pink flowers with slightly fruity fragrance. Full sun; little to moderate water; well-drained soil. 		 RosmMajPk 		 2-4' h; pink bloom"""" 		 

Prostrate Rosemary 		 Rosmarinus officinalis 'Prostratus' 		 2' x 4-8' trailing perennial. Pale lavender blue flowers in winter. Becomes woody at the base inland; remains lush at the coast. Full sun; little water. 		 RosmProst 		 2' h x 4-8' w"""" 		 

Tuscan Blue Rosemary 		 Rosmarinus officinalis 'Tuscan Blue' 		 4' perennial with strong fragrance and flavor. One of the best culinary rosemaries. Deep violet blue flowers in winter. Full sun; little water. Zones 7-10. 		 RosmTuscan 		 4' h x w; culinary"""" 		 

Dolomite Sage 		 Salvia dolomitica 		 Evergreen shrub from South African mountains. Gray leaves with delicate lilac & cream flowers. Leaves smell like Smarties candies. Drought tolerant; Sun to part shade. 		 SalvDolom 		 2' h x w"""" 		 

Pink Autumn Sage 		 Salvia greggii 'Pink' 		 Evergreen shrub with pink flowers over long bloom season. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGPink 		 2-3' h x w; pink"""" 		 

Flame Autumn Sage 		 Salvia greggii 'Flame' 		 Evergreen shrub with deep red flowers over long bloom season. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGFlame 		 2-3' h x w; red"""" 		 

Purple Autumn Sage 		 Salvia greggii 'Purple' 		 Evergreen shrub with purple-pink flowers over long bloom season. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGPurpl 		 2-3' h x w; purple"""" 		 

San Takao Autumn Sage 		 Salvia greggii 'San Takao' 		 Evergreen shrub with salmon pink flowers. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGSanTk 		 2-3' h x w; salmon"""" 		 

Wild Thing Autumn Sage 		 Salvia greggii 'Wild Thing' 		 Evergreen shrub with deep coral-pink flowers. 2-3' h x w. Prune & deadhead regularly. Full sun to part shade; does best with moderate water. 		 SalvGWildT 		 2-3' h x w; pink"""" 		 

Black Sage 'Terra Seca' 		 Salvia mellifera 'Terra Seca' 		 California native perennial 2' x 6'. Whitish or lavender-tinged flowers. Good cascading groundcover. Full sun; drought tolerant. Zones 7-10. 		 SalvMelTerS 		 to 2' h x 6' w"""" 		 

Munz's Sage 		 Salvia munzii 		 Very aromatic native perennial. 3' shrub with pale bluish flowers. Sun; well-drained soil; little water. 		 SalvMunzii 		 to 3' h x w"""" 		 

Green Globe Artichoke 		 Cynara scolymus 'Improved Green Globe' 		 Large, coarse perennial 4' x 6'. Silvery-green leaves with big flower buds. Drought tolerant if grown only as an ornamental; water necessary for edible fruit. 		 CynGrnGlb 		 4'h x 6' w; popular""" 		 

Salmon Creek Nightshade 		 Solanum xanti 'Salmon Creek' 		 Evergreen shrub 2-3' high. Purple flowers in late winter and spring. Little to no water; full sun to part shade. Member of the nightshade family. 		 SolXanSalC 		 to 4' h x 6' w"""" 		 

Variegated Society Garlic 		 Tulbaghia violacea 'Variegata' 		 Bluish-green-gray leaves with creamy stripes. Clusters of lavender flowers in spring and summer. Leaves and flowers have a garlicky odor. Sun; regular water. 		 TulbViolVar 		 1-2' h x 1' w"""" 		 

Allen Chickering Sage 		 Salvia clevelandii 'Allen Chickering' 		 Evergreen shrub 3-5' H x 5-8' W. Wrinkled gray-green, very fragrant leaves. Abundant bright lavender-blue flowers. Full sun; little to moderate water. 		 SalvCAllen 		 3-5' h x 5-8' w"""" 		 

California Coastal Sagebrush 		 Artemisia californica 		 Evergreen shrub native to coastal California & Baja California. 2-5' H x 4-7' W. Finely divided silvery-gray fragrant leaves. Drought tolerant; full sun. 		 ArtemCal 		 2-5' h x 4-7' w"""" 		 

Red Yucca 		 Hesperaloe parviflora 		 Native to Texas & New Mexico. Leaf clumps 3-4' high & wide with 5' rose red flower stalks. Very heat tolerant. Full sun; little to moderate water. 		 HespParv 		 3-4' h x w; 5' bloom"" 		 

Leather Leaf Sedge 		 Carex buchananii 		 Grassy clumps 1-2' h x w. Striking reddish-bronze color. Combines nicely with grays or deep greens. Some shade in hottest climates; moderate water. Zones 7-9. 		 CarexBuch 		 1-2' h x w; clumping"" 		 

Arizona Cypress 		 Cupressus arizonica 		 Native to central Arizona. Grows to 40' tall x 20' wide. Foliage varies from green to blue-gray or silvery. Full sun; little to moderate water. Makes good windbreak. 		 CupAriz 		 to 40' h x 20' w"""" 		 

Mediterranean Sweet Bay 		 Laurus nobilis 		 Slow-growing Mediterranean native. Full sun to part shade inland; moderate water; needs good drainage. Leaves are used fresh or dried in cooking. Leaf tips frost burn. 		 LaurusNob 		 10-30' h; slow"""" 		 

Coast Live Oak 		 Quercus agrifolia 		 Evergreen tree native to coastal central and southern California. 20-70' tall, with equal spread. Dense foliage. Full sun; little to moderate water. 		 QuercAgr 		 20-70' tall; evergreen 		 

Canyon Live Oak 		 Quercus chrysolepsis 		 Most widely distributed of all California oaks and most adaptable to varying conditions. 20-60' tall and wide. Full sun. Very large acorns. 		 QuercChryso 		 20-60' tall & wide"""" 		 

Cork Oak 		 Quercus suber 		 Native to Western Mediterranean and North Africa. Good shade tree with massive trunk. Bark is used for cork. 30-60' high. Needs good drainage. 		 QuercSub 		 30-60' high"""" 		 

Blonde Sedge 		 Carex albula (comans) 		 Fine textured clumping evergreen sedge. Silvery leaves will spill over ledges and slopes looking somewhat like falling water. Sun-part shade in hot climates. Moist soil. 		 CarexAlb 		 mounding to 1'"""" 		 

Pacific Wax Myrtle 		 Myrica californica 		 Evergreen shrub or tree 10-30' tall. Native to coast and coastal valleys. Purplish nutlets are attractive to birds. Full sun; moderate water. Good garden tree. 		 MyricaCal 		 10-30' tall; shrubby"" 		 

Rose 'Cecile Brunner' 		 Rosa 'Cecile Brunner' 		 Full sun to light shade; regular water; average soil. Climbing rose which covers itself with small pink flowers. Plants can reach 15-20' in height if unpruned. 		 RosaCecBr 		 15-20' climber"""" 		 

Red Bunny Tails 		 Pennisetum messiacum 'Red Bunny Tails' 		 Soft bottle-brush like red flowers above green leaves. Use in mass plantings or as accent. 1 1/2-3' h x w. Very adaptable; Full sun; moist, well-drained soil. Zones 7-10. 		 PennRedB 		 1.5-3' h x w"""" 		 

Heritage Raspberry 		 Rubus sp. 'Heritage Raspberry' 		 Upright plants with long, straight canes. Full sun; regular water. Heritage is everbearing with small red berries. Berries have low moisture. Zone 4. 		 RubHerit 		 ever-bearing"""" 		 

Lamb's Ear 		 Stachys byzantina (S. lanata) 		 Low-growing plant with furry silver leaves. Blossom spikes to 18" high with pinkish-purple flowers. Sun; little to moderate water. Avoid overhead watering if possible. 		 StachByz 		 to 18" tall in bloom"" 		 

Joyce Coulter Wild Lilac 		 Ceanothus 'Joyce Coulter' 		 2-5' tall x 10-12' wide. Medium green 1" leaves with medium blue flowers in spike-like clusters. Grows as a mound rather than groundcover. Full sun; little water. 		 CeanJoyceC 		 2-5' h x 10-12' w"""" 		 

Sticky Monkey Flower 		 Mimulus aurantiacus 		 Woody-based perennial to 4 1/2'. Narrow, sticky, dark green leaves. Buff-orange flowers in spring & summer. Full sun to part shade with little water. CA native. 		 MimAurant 		 can reach 4' h x w"""" 		 

Penstemon heterophyllus 		 Penstemon heterophyllus 		 CA native penstemon with bluish-green leaves; 1 1/2-2' high x 2-3' wide. Spikes of narrow blossoms in spring & early summer. Flowers are blue w/pink. Sun; moderate water. 		 PensHeter 		 18-24" h x 2-3' w"""" 		 

White Sage (Sacred Sage) 		 Salvia apiana 		 Very aromatic plant 3-5' high & wide. Flower spikes can rise to 8' or more. Used as an incense sage; for smudging; for Native American ceremonials. Sun; little water. 		 SalvApiana 		 3-5' h x w"""" 		 

Santa Barbara Mexican Bush Sage 		 Salvia leucantha 'Santa Barbara' 		 2' perennial with long gray-green leaves. May die back to the ground in cold climates but regrows from the roots. Purple & white flowers. Sun; little water. Dwarf form. 		 SalvLeucSB 		 2' h x w"""" 		 

Fred Boutin Lavender 		 Lavandula x intermedia 'Fred Boutin' 		 Vigorous, fragrant plants with silvery-gray foliage. 3-4' tall and wide. Foliage is dense & flower stalks are long. Attractive violet-blue flowers in early to mid-summer. 		 LavIntFredB 		 3-4' h x w in bloom""" 		 

Berggarten Sage 		 Salvia officinalis 'Berggarten' 		 Somewhat compact perennial 16" high by 2 1/2' wide. Rounder leaves and fewer flowers than standard culinary sage. Great flavor. Sun and little water. 		 SalvOffBerg 		 to 16" h x 30" w"""" 		 

Golden Sage 		 Salvia officinalis 'Aurea' 		 1-3' perennial with variegated gold and gray-green leaves. Great culinary sage. Requires good drainage; full sun to part shade; little water. 		 SalvOffAur 		 1-3' h x w"""" 		 

Tricolor Sage 		 Salvia officinalis 'Tricolor' 		 1-3' perennial with green, ivory, pink, and purple leaves. Excellent accent plant with good culinary flavor. Sun to part shade; well-drained soil; little water. 		 SalvOffTric 		 1-3' h x w"""" 		 

Wayside Manzanita 		 Arctostaphylos hookeri 'Wayside' 		 Native to Monterey, CA. 1 1/2-4' high x 8' wide. Small glossy green leaves; white to pinkish flowers. Slow grower; good on hillsides. Sun to light shade; little water. 		 ArctHookWay 		 1.5-4' h x 8' w"""" 		 

Six Hills Giant Catmint 		 Nepeta x faassenii 'Six Hills Giant' 		 2 1/2-3' high and wide. Green-gray foliage with deep blue-purple flowers. Full sun to part shade; moderate water. Tolerates damp better than other nepetas. Cat favorite. 		 NepXSixH 		 2 1/2 - 3' h x w"""" 		 

Dropmore Catmint 		 Nepeta x faassenii 'Dropmore' 		 1 1/2' high x 3' wide. Silvery gray-green mound with lavender-blue flowers in late spring & early summer. Fragrant leaves are attractive to some cats. 		 NepXDrop 		 18" h x 3' w"""" 		 

Incense Cedar 		 Calocedrus decurrens 		 Adaptable to many Western climates. Symmetrical tree 75-90' tall with 10-15' spread at base. Pungent fragrance in warm weather. Slow grower. Full sun; little water. 		 CaloDec 		 75-90' tall x 10-15' w 		 

Compact Sprenger Asparagus Fern 		 Asparagus densiflorus 'Sprengeri Compacta' 		 Arching, drooping stems 1-2' h' x 3'+ w. Shiny, green needle-like leaves. Great for hanging baskets or groundcover. Tolerates dry soil; sun to part shade; moderate water. 		 AspSprngCom 		 1-2' h x 3' w"""" 		 

Foxtail Asparagus Fern 		 Asparagus densiflorus 'Myers' 		 Several upright stems to 2' high, densely clothed with needle-like deep green leaves which give the plant a fluffy look. 3-4' wide clump. Nice in containers. 		 AspMyers 		 to 2' h; slow grower"" 		 

Western Sword Fern 		 Polystichum munitum 		 Common fern of western forests. 2-4' high. Dark green fronds have bases somewhat like sword hilt. Nice in cut bouquets. Part to full shade; low water. Zones 7-10. 		 PolystMun 		 2-4' h; slow grower""" 		 

Chocolate Mint 		 Mentha x piperita 'Chocolate' 		 Sun at coast to shade inland; regular water. To 18" tall; spreads easily. Dark green & purple leaves; purple stems. Smells like after dinner mints.  Culinary plants. 		 MenthChoc 		 to 18" h & spreading"" 		 

Kentucky Colonel Spearmint 		 Mentha spicata 'Kentucky Colonel' 		 Old-fashioned very flavorful spearmint used in Mint Juleps, candies, & jellies. Dark green, toothed leaves. 3' plants spread easily. Sun to part shade; regular water. 		 MenthKenC 		 3' tall; spreading"""" 		 

Pennyroyal 		 Mentha pulegium 		 Creeping plant 4-16" high with bright green leaves. Small lavender flowers. Strong mint fragrance. Repels insects. Usually not culinary. Needs cool, moist place. 		 MenthPul 		 4-16" tall; spreading" 		 

Apple Mint 		 Mentha suaveolens 		 Slightly hairy gray-green leaves. Plants are 1 1/2-3' tall. Coastal sun to shade inland; regular water. Smells like both apples and mint. 		 MenthSuav 		 18-36" h; spreading""" 		 

Pineapple Mint 		 Mentha suaveolens 'Variegata' 		 Green & white variegated slightly hairy leaves with a fruity, pineapple fragrance. Plants are 1 1/2' h & spreading; part shade; regular water. 		 MenthSuaVar 		 18" h & spreading"""" 		 

Hopley's Purple Oregano 		 Origanum laevigatum 'Hopley's' 		 Native to Turkey, Cypress. Semi-sprawling plant with dark green-gray leaves. 2-2 1/2' high. Purplish-pink flowers in mid- to late summer. Sun-part shade. Moderate water. 		 OrigLaeHop 		 24-30" sprawler"""" 		 

Herrenhausen Oregano 		 Origanum laevigatum 'Herrenhausen' 		 Native to Turkey, Cypress. Semi-sprawling plant with dark green-gray leaves. 2-2 1/2' high. Lilac-pink flowers in mid- to late summer. Sun to part shade. Moderate water. 		 OrigLaeHerr 		 24-30" sprawler"""" 		 

Italian Oregano 		 Origanum x majoricum 		 Mild oregano flavor similar to marjoram. 1 1/2-2' tall w/green-gray leaves; clusters of white flowers.  Pinch blossoms off to encourage new growth. Sun; moderate water. 		 OrigXMajor 		 18-24" h; spreading""" 		 

Hot & Spicy Oregano 		 Origanum vulgare 'Hot & Spicy' 		 Similar to Greek oregano in habit. Bold oregano flavor with a hot, spicy bite. 2' tall with clusters of white flowers. Full sun; moderate water. Pinch blossoms. 		 OrigVulH&S 		 to 2' h; spreading"""" 		 

Variegated Oregano 		 Origanum vulgare 'Variegatum' 		 Compact oregano with cream and green leaves. 4-6" high. Little flavor, but makes a nice accent plant in the garden. Needs shade inland or the pale leaves will sunburn. 		 OrigVulVar 		 4-6" h; slow grower""" 		 

Elfin Thyme 		 Thymus praecox cv. 'Elfin' 		 Very low-growing thyme to 2" high by 5" wide. Round gray-green leaves. Can be used as a filler between stepping stones. Full sun; light shade in hot areas. Light water. 		 ThymPrElf 		 to 2" h x 5" w"""" 		 

Pennsylvania Dutch Tea Thyme 		 Thymus pulegioides 'Pennsylvania Dutch Tea' 		 Round, glossy, dark green leaves on plants to 8" high. Black tea flavor when brewed; used to add body to herb teas. Sun to light shade; moderate water. Zone 5. 		 ThymPulTea 		 to 8" h x 12" w"""" 		 

Reiter's Thyme 		 Thymus cv. 'Reiter's' 		 Tough, vigorous groundcover for sun or light shade. Grows to 3" high x 2 1/2' wide. Glossy green leaves with lavender flowers. Moderate water. 		 ThymReit 		 to 3" h x 2'+ w"""" 		 

